Team,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Manchester United,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6,2,6,3,2,6,3
Arsenal,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5,6,5,8,8,5,2
Liverpool,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4,4,2,1,3,2,5
Leeds United,4,5,15,19,,,,,,,,,,,,,,,,,9,17,19
Ipswich Town,5,18,,,,,,,,,,,,,,,,,,,,,
Chelsea,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4,4,3,12
Sunderland,7,17,20,,,20,,15,16,13,10,13,17,14,16,17,20,,,,,,
Aston Villa,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,,,,17,11,14,7
Charlton Athletic,9,14,12,7,11,13,19,,,,,,,,,,,,,,,,
Southampton,10,11,8,12,20,,,,,,,,14,8,7,6,8,17,16,11,15,15,20
Newcastle United,11,4,3,5,14,7,13,12,18,,12,5,16,10,15,18,,10,13,13,12,11,4
Tottenham Hotspur,12,9,10,14,9,5,5,11,8,4,5,4,5,6,5,3,2,3,4,6,7,4,8
Leicester City,13,20,,18,,,,,,,,,,,14,1,12,9,9,5,5,8,18
Middlesbrough,14,12,11,11,7,14,12,13,19,,,,,,,,19,,,,,,
West Ham United,15,7,18,,,9,15,10,9,17,20,,10,13,12,7,11,13,10,16,6,7,14
Everton,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7,8,8,12,10,16,17
Derby County,17,19,,,,,,20,,,,,,,,,,,,,,,
Manchester City,18,,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3,1,1,2,1,1,1
Coventry City,19,,,,,,,,,,,,,,,,,,,,,,
Bradford City,20,,,,,,,,,,,,,,,,,,,,,,
Blackburn Rovers,,10,6,15,15,6,10,7,15,10,15,19,,,,,,,,,,,
Fulham,,13,14,9,13,12,16,17,7,12,8,9,12,19,,,,,19,,18,,10
Bolton Wanderers,,16,17,8,6,8,7,16,13,14,14,18,,,,,,,,,,,
Birmingham City,,,13,10,12,18,,19,,9,18,,,,,,,,,,,,
West Bromwich Albion,,,19,,17,19,,,20,,11,10,8,17,13,14,10,20,,,19,,
Portsmouth,,,,13,16,17,9,8,14,20,,,,,,,,,,,,,
Wolverhampton Wanderers,,,,20,,,,,,15,17,20,,,,,,,7,7,13,10,13
Crystal Palace,,,,,18,,,,,,,,,11,10,15,14,11,12,14,14,12,11
Norwich City,,,,,19,,,,,,,12,11,18,,19,,,,20,,20,
Wigan Athletic,,,,,,10,17,14,11,16,16,15,18,,,,,,,,,,
Reading,,,,,,,8,18,,,,,19,,,,,,,,,,
Sheffield United,,,,,,,18,,,,,,,,,,,,,9,20,,
Watford,,,,,,,20,,,,,,,,,13,17,14,11,19,,19,
Stoke City,,,,,,,,,12,11,13,14,13,9,9,9,13,19,,,,,
Hull City,,,,,,,,,17,19,,,,16,18,,18,,,,,,
Burnley,,,,,,,,,,18,,,,,19,,16,7,15,10,17,18,
Blackpool,,,,,,,,,,,19,,,,,,,,,,,,
Swansea City,,,,,,,,,,,,11,9,12,8,12,15,18,,,,,
Queens Park Rangers,,,,,,,,,,,,17,20,,20,,,,,,,,
Cardiff City,,,,,,,,,,,,,,20,,,,,18,,,,
Bournemouth,,,,,,,,,,,,,,,,16,9,12,14,18,,,15
Brighton & Hove Albion,,,,,,,,,,,,,,,,,,15,17,15,16,9,6
Huddersfield Town,,,,,,,,,,,,,,,,,,16,20,,,,
Brentford,,,,,,,,,,,,,,,,,,,,,,13,9
Nottingham Forest,,,,,,,,,,,,,,,,,,,,,,,16